version,seed,scenario,provider_id,model_profile,model,max_turns,turns_played,turns_survived,final_score,resources_gathered,invalid_actions,alive,end_reason,tokens_used,latency_ms,estimated_cost,log_path
0.1.8,1,v0_1_basic,dummy_provider,dummy_v0_1,dummy_random_v0_1,50,22,21,14,1,0,False,agent_dead,,0.03,,/Users/fabio.laporta/Documents/gemini/TinyWorld Survival Bench/artifacts/logs/run_seed1_dummy_provider_dummy_random_v0_1_20260322T184558Z.json
0.1.8,2,v0_1_basic,dummy_provider,dummy_v0_1,dummy_random_v0_1,50,27,26,29,3,0,False,agent_dead,,0.024,,/Users/fabio.laporta/Documents/gemini/TinyWorld Survival Bench/artifacts/logs/run_seed2_dummy_provider_dummy_random_v0_1_20260322T184558Z.json
0.1.8,3,v0_1_basic,dummy_provider,dummy_v0_1,dummy_random_v0_1,50,23,22,15,1,0,False,agent_dead,,0.024,,/Users/fabio.laporta/Documents/gemini/TinyWorld Survival Bench/artifacts/logs/run_seed3_dummy_provider_dummy_random_v0_1_20260322T184558Z.json
0.1.8,4,v0_1_basic,dummy_provider,dummy_v0_1,dummy_random_v0_1,50,21,20,16,2,0,False,agent_dead,,0.017,,/Users/fabio.laporta/Documents/gemini/TinyWorld Survival Bench/artifacts/logs/run_seed4_dummy_provider_dummy_random_v0_1_20260322T184558Z.json
0.1.8,5,v0_1_basic,dummy_provider,dummy_v0_1,dummy_random_v0_1,50,22,21,14,1,0,False,agent_dead,,0.018,,/Users/fabio.laporta/Documents/gemini/TinyWorld Survival Bench/artifacts/logs/run_seed5_dummy_provider_dummy_random_v0_1_20260322T184558Z.json
0.1.8,6,v0_1_basic,dummy_provider,dummy_v0_1,dummy_random_v0_1,50,21,20,13,1,0,False,agent_dead,,0.017,,/Users/fabio.laporta/Documents/gemini/TinyWorld Survival Bench/artifacts/logs/run_seed6_dummy_provider_dummy_random_v0_1_20260322T184558Z.json
0.1.8,7,v0_1_basic,dummy_provider,dummy_v0_1,dummy_random_v0_1,50,22,21,16,1,0,False,agent_dead,,0.017,,/Users/fabio.laporta/Documents/gemini/TinyWorld Survival Bench/artifacts/logs/run_seed7_dummy_provider_dummy_random_v0_1_20260322T184558Z.json
0.1.8,8,v0_1_basic,dummy_provider,dummy_v0_1,dummy_random_v0_1,50,21,20,13,1,0,False,agent_dead,,0.019,,/Users/fabio.laporta/Documents/gemini/TinyWorld Survival Bench/artifacts/logs/run_seed8_dummy_provider_dummy_random_v0_1_20260322T184558Z.json
0.1.8,9,v0_1_basic,dummy_provider,dummy_v0_1,dummy_random_v0_1,50,23,22,15,1,0,False,agent_dead,,0.02,,/Users/fabio.laporta/Documents/gemini/TinyWorld Survival Bench/artifacts/logs/run_seed9_dummy_provider_dummy_random_v0_1_20260322T184558Z.json
0.1.8,10,v0_1_basic,dummy_provider,dummy_v0_1,dummy_random_v0_1,50,21,20,13,1,0,False,agent_dead,,0.019,,/Users/fabio.laporta/Documents/gemini/TinyWorld Survival Bench/artifacts/logs/run_seed10_dummy_provider_dummy_random_v0_1_20260322T184558Z.json
0.1.8,11,v0_1_basic,dummy_provider,dummy_v0_1,dummy_random_v0_1,50,22,21,17,2,0,False,agent_dead,,0.019,,/Users/fabio.laporta/Documents/gemini/TinyWorld Survival Bench/artifacts/logs/run_seed11_dummy_provider_dummy_random_v0_1_20260322T184558Z.json
0.1.8,12,v0_1_basic,dummy_provider,dummy_v0_1,dummy_random_v0_1,50,22,21,11,0,0,False,agent_dead,,0.018,,/Users/fabio.laporta/Documents/gemini/TinyWorld Survival Bench/artifacts/logs/run_seed12_dummy_provider_dummy_random_v0_1_20260322T184558Z.json
0.1.8,13,v0_1_basic,dummy_provider,dummy_v0_1,dummy_random_v0_1,50,20,19,15,2,0,False,agent_dead,,0.019,,/Users/fabio.laporta/Documents/gemini/TinyWorld Survival Bench/artifacts/logs/run_seed13_dummy_provider_dummy_random_v0_1_20260322T184558Z.json
0.1.8,14,v0_1_basic,dummy_provider,dummy_v0_1,dummy_random_v0_1,50,24,23,21,2,0,False,agent_dead,,0.02,,/Users/fabio.laporta/Documents/gemini/TinyWorld Survival Bench/artifacts/logs/run_seed14_dummy_provider_dummy_random_v0_1_20260322T184558Z.json
0.1.8,15,v0_1_basic,dummy_provider,dummy_v0_1,dummy_random_v0_1,50,21,20,10,0,0,False,agent_dead,,0.017,,/Users/fabio.laporta/Documents/gemini/TinyWorld Survival Bench/artifacts/logs/run_seed15_dummy_provider_dummy_random_v0_1_20260322T184558Z.json
0.1.8,16,v0_1_basic,dummy_provider,dummy_v0_1,dummy_random_v0_1,50,21,20,13,1,0,False,agent_dead,,0.018,,/Users/fabio.laporta/Documents/gemini/TinyWorld Survival Bench/artifacts/logs/run_seed16_dummy_provider_dummy_random_v0_1_20260322T184558Z.json
0.1.8,17,v0_1_basic,dummy_provider,dummy_v0_1,dummy_random_v0_1,50,22,21,17,2,0,False,agent_dead,,0.021,,/Users/fabio.laporta/Documents/gemini/TinyWorld Survival Bench/artifacts/logs/run_seed17_dummy_provider_dummy_random_v0_1_20260322T184558Z.json
0.1.8,18,v0_1_basic,dummy_provider,dummy_v0_1,dummy_random_v0_1,50,21,20,19,3,0,False,agent_dead,,0.018,,/Users/fabio.laporta/Documents/gemini/TinyWorld Survival Bench/artifacts/logs/run_seed18_dummy_provider_dummy_random_v0_1_20260322T184558Z.json
0.1.8,19,v0_1_basic,dummy_provider,dummy_v0_1,dummy_random_v0_1,50,23,22,26,4,0,False,agent_dead,,0.04,,/Users/fabio.laporta/Documents/gemini/TinyWorld Survival Bench/artifacts/logs/run_seed19_dummy_provider_dummy_random_v0_1_20260322T184558Z.json
0.1.8,20,v0_1_basic,dummy_provider,dummy_v0_1,dummy_random_v0_1,50,21,20,10,0,0,False,agent_dead,,0.019,,/Users/fabio.laporta/Documents/gemini/TinyWorld Survival Bench/artifacts/logs/run_seed20_dummy_provider_dummy_random_v0_1_20260322T184558Z.json
